Date Collected,Nests,Total No. False Crawls,Hit Rocks,Hatched Nests,Nest predation
10/8/2020,3,1,0,0,0
10/9/2020,0,0,0,0,0
10/10/2020,0,0,0,0,0
10/11/2020,2,0,0,0,0
10/12/2020,0,0,0,0,0
10/13/2020,3,0,0,0,0
10/14/2020,0,0,0,0,0
10/15/2020,0,0,0,0,0
10/16/2020,2,1,0,0,0
10/17/2020,0,0,0,0,0
10/18/2020,0,0,0,0,0
10/19/2020,4,0,0,0,0
11/1/2020,6,0,0,0,0
11/2/2020,0,0,0,0,0
11/3/2020,0,0,0,0,0
11/4/2020,0,0,0,0,0
11/5/2020,0,0,0,0,0
11/6/2020,7,0,1,0,0
11/7/2020,6,4,2,0,0
11/8/2020,0,0,0,0,0
11/9/2020,0,0,0,0,0
11/11/2020,9,1,1,0,0
11/12/2020,11,2,4,0,0
11/13/2020,6,2,1,0,0
11/14/2020,4,3,1,0,0
11/15/2020,2,2,0,1,0
11/16/2020,1,1,0,1,0
11/17/2020,0,1,0,1,0
11/18/2020,1,4,1,0,0
11/19/2020,12,8,1,0,0
11/20/2020,0,2,0,0,0
11/21/2020,3,2,4,0,0
11/22/2020,1,1,1,0,0
11/23/2020,4,0,2,0,0
11/24/2020,14,1,0,0,0
11/25/2020,19,4,1,0,0
11/26/2020,26,8,3,0,0
11/27/2020,2,0,2,0,0
11/28/2020,2,0,0,0,0
11/29/2020,5,5,1,0,0
11/30/2020,3,6,4,0,0
12/1/2020,6,0,0,0,0
12/2/2020,2,1,0,1,0
12/3/2020,1,3,0,0,0
12/4/2020,1,3,0,3,0
12/5/2020,7,5,0,2,1
12/6/2020,3,5,0,2,0
12/7/2020,4,3,0,3,0
12/8/2020,6,0,0,1,0
12/9/2020,3,6,0,0,0
12/10/2020,7,2,0,1,0
12/11/2020,14,10,0,0,0
12/12/2020,9,6,0,0,0
12/13/2020,2,13,0,0,0
12/14/2020,4,0,0,3,0
12/15/2020,7,3,0,5,1
12/16/2020,7,6,0,1,0
12/17/2020,3,2,0,2,0
12/18/2020,15,2,0,6,2
12/19/2020,7,3,0,1,0
12/20/2020,1,3,0,1,0
12/21/2020,2,2,1,0,0
12/22/2020,2,0,0,6,0
12/23/2020,8,0,0,4,0
12/24/2020,7,2,0,0,0
12/25/2020,8,2,0,1,0
12/26/2020,10,0,0,4,0
12/27/2020,7,0,1,3,1
12/28/2020,3,0,1,3,4
12/29/2020,9,0,0,4,2
12/30/2020,5,3,0,3,1
12/31/2020,0,0,0,4,2
1/1/2021,0,0,0,2,1
1/2/2021,5,3,0,0,0
1/3/2021,2,0,0,5,0
1/4/2021,0,0,1,4,0
1/5/2021,0,0,0,1,0
1/6/2021,0,0,0,5,0
1/7/2021,0,0,0,3,0
1/8/2021,0,0,0,5,0
1/9/2021,0,0,0,3,0
1/10/2021,0,0,0,1,0
1/11/2021,1,0,0,3,0
1/12/2021,0,0,0,4,0
1/13/2021,2,1,0,0,0
1/14/2021,0,0,0,0,0
1/15/2021,0,0,0,0,0
1/16/2021,0,0,0,0,0
1/17/2021,0,0,0,0,0
1/18/2021,0,0,0,0,0
1/19/2021,0,0,0,0,0
1/20/2021,0,0,0,1,0
1/21/2021,0,0,0,0,0
1/22/2021,0,0,0,0,0
1/23/2021,0,0,0,0,0
1/24/2021,0,1,0,0,0
1/25/2021,0,0,0,0,0
1/26/2021,0,0,0,0,0
1/27/2021,0,0,0,0,0
1/28/2021,0,0,0,0,0
1/29/2021,0,0,0,0,0
1/31/2021,0,0,0,0,0
2/2/2021,0,0,0,0,0
2/4/2021,0,0,0,0,0
2/7/2021,0,0,0,0,0
2/9/2021,0,2,0,0,0
2/11/2021,0,1,0,0,0
2/14/2021,0,0,0,0,0
2/16/2021,0,0,0,0,0
2/18/2021,0,0,0,0,0
2/21/2021,0,0,0,0,0
2/23/2021,0,0,0,0,0
2/25/2021,0,0,0,0,0
3/2/2021,0,0,0,0,0